# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Am-241 Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:01:58
# EndTime,2026-06-21T18:10:50
# MeasurementTime,532
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
5.151421,134
7.582813,644
10.014956,1399
12.447847,2827
14.881488,4528
17.315878,6212
19.751018,8147
22.186907,10129
24.623546,11714
27.060934,10875
29.499071,8193
31.937958,5014
34.377594,2784
36.817979,1792
39.259114,1958
41.700998,3177
44.143632,5252
46.587015,8592
49.031147,13518
51.476029,20368
53.921660,28524
56.368041,36448
58.815171,41375
61.263050,40411
63.711679,34218
66.161057,23961
68.611184,14960
71.062061,8574
73.513688,4518
75.966063,2422
78.419188,1230
80.873063,654
83.327687,339
85.783060,224
88.239182,154
90.696054,147
93.153676,137
95.612047,151
98.071167,157
100.531036,166
102.991655,159
105.453024,149
107.915141,159
110.378008,129
112.841625,136
115.305991,113
117.771106,114
120.236971,90
122.703585,109
125.170948,92
127.639061,98
130.107923,66
132.577535,69
135.047896,74
137.519006,60
139.990866,56
142.463475,52
144.936834,69
147.410942,37
149.885799,50
152.361406,43
154.837762,58
157.314867,39
159.792722,34
162.271326,35
164.750680,38
167.230783,42
169.711636,29
172.193237,25
174.675589,42
177.158689,24
179.642539,42
182.127139,27
184.612487,28
187.098585,33
189.585433,28
192.073030,21
194.561376,24
197.050472,26
199.540317,15
202.030912,18
204.522255,20
207.014349,23
209.507191,19
212.000783,24
214.495125,16
216.990216,22
219.486056,14
221.982645,16
224.479984,15
226.978073,12
229.476911,16
231.976498,13
234.476834,16
236.977920,7
239.479755,10
241.982340,10
244.485674,13
246.989758,12
249.494591,16
252.000173,13
254.506505,13
257.013586,10
259.521416,8
262.029996,11
264.539325,11
267.049404,8
269.560232,12
272.071809,7
274.584136,4
277.097212,9
279.611037,8
282.125612,10
284.640937,7
287.157010,11
289.673833,8
292.191406,9
294.709728,4
297.228799,5
299.748620,4
302.269190,4
304.790509,2
307.312578,5
309.835396,6
312.358964,5
314.883281,5
317.408347,5
319.934163,6
322.460728,3
324.988042,11
327.516106,5
330.044920,6
332.574482,5
335.104794,9
337.635856,5
340.167667,11
342.700227,2
345.233537,4
347.767596,6
350.302404,2
352.837962,8
355.374269,8
357.911326,4
360.449132,2
362.987687,6
365.526992,3
368.067046,3
370.607849,1
373.149402,1
375.691705,4
378.234756,4
380.778557,5
383.323108,2
385.868408,1
388.414457,1
390.961256,1
393.508804,4
396.057101,1
398.606148,1
401.155944,2
403.706490,4
406.257785,3
408.809829,2
411.362623,1
413.916166,2
416.470458,3
419.025500,2
421.581291,2
424.137832,2
426.695122,3
429.253162,1
431.811951,6
434.371489,0
436.931776,2
439.492813,1
442.054600,3
444.617136,4
447.180421,0
449.744455,1
452.309239,2
454.874773,1
457.441055,0
460.008088,1
462.575869,2
465.144400,1
467.713680,0
470.283710,1
472.854489,1
475.426017,3
477.998295,2
480.571323,2
483.145099,1
485.719625,0
488.294901,0
490.870925,0
493.447700,2
496.025223,0
498.603496,0
501.182518,2
503.762290,1
506.342811,0
508.924082,1
511.506102,1
514.088871,5
516.672390,1
519.256658,2
521.841675,1
524.427442,4
527.013958,1
529.601224,0
532.189239,0
534.778003,0
537.367517,4
539.957780,1
542.548793,2
545.140555,0
547.733066,3
550.326327,1
552.920337,0
555.515096,2
558.110605,1
560.706863,1
563.303871,1
565.901628,1
568.500135,1
571.099390,1
573.699396,0
576.300150,0
578.901654,1
581.503908,2
584.106910,2
586.710663,2
589.315164,1
591.920415,2
594.526415,0
597.133165,0
599.740664,1
602.348913,1
604.957911,1
607.567658,1
610.178155,1
612.789401,2
615.401396,0
618.014141,3
620.627635,0
623.241879,1
625.856872,0
628.472614,1
631.089106,1
633.706347,2
636.324338,0
638.943078,0
641.562567,0
644.182806,1
646.803794,1
649.425531,0
652.048018,2
654.671254,1
657.295240,0
659.919975,0
662.545460,2
665.171693,1
667.798677,2
670.426409,1
673.054891,1
675.684123,0
678.314103,1
680.944833,0
683.576313,0
686.208542,1
688.841520,0
691.475248,0
694.109725,0
696.744952,1
699.380927,0
702.017653,1
704.655127,0
707.293351,1
709.932325,0
712.572048,1
715.212520,1
717.853741,0
720.495712,1
723.138433,2
725.781903,0
728.426122,0
731.071090,0
733.716808,0
736.363275,3
739.010492,0
741.658458,2
744.307174,0
746.956639,1
749.606853,1
752.257817,0
754.909530,1
757.561992,1
760.215204,0
762.869165,0
765.523876,1
768.179336,1
770.835545,0
773.492504,0
776.150212,1
778.808669,0
781.467876,1
784.127833,1
786.788538,0
789.449993,1
792.112198,0
794.775152,0
797.438855,0
800.103308,0
802.768510,0
805.434461,0
808.101162,1
810.768612,1
813.436812,0
816.105761,3
818.775459,0
821.445907,1
824.117104,0
826.789050,0
829.461746,2
832.135192,0
834.809386,1
837.484330,0
840.160024,1
842.836467,1
845.513659,0
848.191601,0
850.870292,0
853.549732,0
856.229922,0
858.910861,0
861.592550,0
864.274988,0
866.958175,0
869.642112,0
872.326798,1
875.012233,1
877.698418,1
880.385353,1
883.073036,0
885.761469,3
888.450652,0
891.140584,1
893.831265,0
896.522696,2
899.214876,0
901.907805,0
904.601484,1
907.295912,0
909.991090,0
912.687017,0
915.383693,0
918.081119,0
920.779294,0
923.478218,2
926.177892,0
928.878315,0
931.579488,0
934.281410,0
936.984082,1
939.687503,1
942.391673,2
945.096592,2
947.802261,0
950.508680,0
953.215848,1
955.923765,0
958.632431,1
961.341847,0
964.052013,0
966.762927,0
969.474592,0
972.187005,0
974.900168,0
977.614080,1
980.328742,0
983.044153,1
985.760313,0
988.477223,0
991.194883,0
993.913291,0
996.632449,0
999.352357,3
1002.073013,0
1004.794420,0
1007.516575,0
1010.239480,0
1012.963134,0
1015.687538,1
1018.412691,1
1021.138594,0
1023.865246,0
