# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Ra-226 Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:12:40
# EndTime,2026-06-21T18:24:47
# MeasurementTime,727
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
5.151421,2581
7.582813,7226
10.014956,10035
12.447847,10503
14.881488,10112
17.315878,9858
19.751018,10042
22.186907,9890
24.623546,9831
27.060934,9369
29.499071,9452
31.937958,9680
34.377594,10431
36.817979,12099
39.259114,13977
41.700998,16206
44.143632,17324
46.587015,17525
49.031147,16589
51.476029,15567
53.921660,14641
56.368041,14172
58.815171,14353
61.263050,15482
63.711679,17865
66.161057,21174
68.611184,25672
71.062061,31600
73.513688,36756
75.966063,39178
78.419188,39637
80.873063,37537
83.327687,33697
85.783060,29137
88.239182,24817
90.696054,21410
93.153676,18199
95.612047,15135
98.071167,12864
100.531036,11106
102.991655,9943
105.453024,9123
107.915141,8492
110.378008,8242
112.841625,8267
115.305991,7970
117.771106,8052
120.236971,8023
122.703585,8112
125.170948,8209
127.639061,8300
130.107923,8381
132.577535,8647
135.047896,8797
137.519006,8900
139.990866,9043
142.463475,9367
144.936834,9527
147.410942,9675
149.885799,9528
152.361406,9384
154.837762,9560
157.314867,9478
159.792722,9272
162.271326,8959
164.750680,9210
167.230783,9323
169.711636,9138
172.193237,9297
174.675589,9669
177.158689,9794
179.642539,10106
182.127139,10353
184.612487,10128
187.098585,10019
189.585433,9758
192.073030,9392
194.561376,8888
197.050472,8306
199.540317,7740
202.030912,7409
204.522255,6685
207.014349,6488
209.507191,6163
212.000783,5854
214.495125,5669
216.990216,5804
219.486056,5735
221.982645,5774
224.479984,5842
226.978073,6112
229.476911,6331
231.976498,6532
234.476834,6623
236.977920,6956
239.479755,6910
241.982340,6958
244.485674,6794
246.989758,6716
249.494591,6234
252.000173,5915
254.506505,5557
257.013586,5330
259.521416,5085
262.029996,4864
264.539325,4725
267.049404,4764
269.560232,4866
272.071809,5043
274.584136,5236
277.097212,5574
279.611037,6023
282.125612,6320
284.640937,6587
287.157010,6825
289.673833,7021
292.191406,7347
294.709728,7459
297.228799,7125
299.748620,6931
302.269190,6765
304.790509,6398
307.312578,5850
309.835396,5484
312.358964,5130
314.883281,4880
317.408347,4731
319.934163,4684
322.460728,4481
324.988042,4612
327.516106,4822
330.044920,5260
332.574482,5417
335.104794,6181
337.635856,6405
340.167667,6618
342.700227,7186
345.233537,7459
347.767596,7582
350.302404,7580
352.837962,7724
355.374269,7573
357.911326,7239
360.449132,6896
362.987687,6398
365.526992,5877
368.067046,5199
370.607849,4808
373.149402,4345
375.691705,3859
378.234756,3545
380.778557,3128
383.323108,2892
385.868408,2681
388.414457,2461
390.961256,2287
393.508804,2185
396.057101,2037
398.606148,1934
401.155944,1923
403.706490,1869
406.257785,1705
408.809829,1668
411.362623,1642
413.916166,1494
416.470458,1434
419.025500,1386
421.581291,1325
424.137832,1237
426.695122,1238
429.253162,1181
431.811951,1143
434.371489,1024
436.931776,1090
439.492813,1027
442.054600,1011
444.617136,1013
447.180421,993
449.744455,920
452.309239,990
454.874773,993
457.441055,931
460.008088,965
462.575869,963
465.144400,929
467.713680,898
470.283710,928
472.854489,900
475.426017,879
477.998295,912
480.571323,856
483.145099,915
485.719625,793
488.294901,866
490.870925,810
493.447700,848
496.025223,845
498.603496,848
501.182518,844
503.762290,771
506.342811,781
508.924082,772
511.506102,782
514.088871,725
516.672390,785
519.256658,733
521.841675,768
524.427442,713
527.013958,764
529.601224,789
532.189239,770
534.778003,753
537.367517,780
539.957780,767
542.548793,826
545.140555,803
547.733066,843
550.326327,814
552.920337,878
555.515096,894
558.110605,939
560.706863,986
563.303871,1023
565.901628,1103
568.500135,1133
571.099390,1183
573.699396,1269
576.300150,1394
578.901654,1444
581.503908,1631
