# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Th 232 - 1 hour Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T16:38:58
# EndTime,2026-06-21T17:40:48
# MeasurementTime,3710
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
5.151421,1712
7.582813,7838
10.014956,14414
12.447847,15257
14.881488,11764
17.315878,7554
19.751018,5232
22.186907,4346
24.623546,4254
27.060934,4491
29.499071,4591
31.937958,4912
34.377594,5135
36.817979,5998
39.259114,6606
41.700998,7052
44.143632,6876
46.587015,6685
49.031147,6312
51.476029,6350
53.921660,6529
56.368041,7100
58.815171,8009
61.263050,8566
63.711679,9862
66.161057,11982
68.611184,14687
71.062061,18338
73.513688,21990
75.966063,24447
78.419188,25270
80.873063,24053
83.327687,22556
85.783060,20406
88.239182,18212
90.696054,16638
93.153676,14993
95.612047,13451
98.071167,11348
100.531036,9682
102.991655,8303
105.453024,7062
107.915141,6008
110.378008,5397
112.841625,4962
115.305991,4852
117.771106,4516
120.236971,4374
122.703585,4451
125.170948,4561
127.639061,4566
130.107923,4643
132.577535,4519
135.047896,4387
137.519006,4047
139.990866,3734
142.463475,3524
144.936834,3441
147.410942,3348
149.885799,3258
152.361406,3193
154.837762,2998
157.314867,2966
159.792722,2920
162.271326,2874
164.750680,2752
167.230783,2590
169.711636,2547
172.193237,2419
174.675589,2449
177.158689,2487
179.642539,2424
182.127139,2449
184.612487,2444
187.098585,2551
189.585433,2520
192.073030,2586
194.561376,2684
197.050472,2797
199.540317,3021
202.030912,3070
204.522255,3183
207.014349,3240
209.507191,3386
212.000783,3572
214.495125,3767
216.990216,4211
219.486056,4745
221.982645,5167
224.479984,5701
226.978073,6315
229.476911,6976
231.976498,7534
234.476834,7992
236.977920,8407
239.479755,8338
241.982340,8106
244.485674,7683
246.989758,7016
249.494591,6293
252.000173,5623
254.506505,4908
257.013586,4312
259.521416,3557
262.029996,3232
264.539325,2969
267.049404,2588
269.560232,2439
