# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,U-238 and U-235 Fiestaware Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T18:26:22
# EndTime,2026-06-21T19:16:20
# MeasurementTime,2998
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
5.151421,1164
7.582813,4607
10.014956,7480
12.447847,7810
14.881488,7082
17.315878,5774
19.751018,5263
22.186907,5297
24.623546,5707
27.060934,5976
29.499071,6252
31.937958,6301
34.377594,6237
36.817979,6018
39.259114,6143
41.700998,6411
44.143632,6318
46.587015,6588
49.031147,7204
51.476029,8275
53.921660,9552
56.368041,11471
58.815171,13876
61.263050,15938
63.711679,17892
66.161057,19209
68.611184,19790
71.062061,19892
73.513688,20169
75.966063,19836
78.419188,19376
80.873063,18077
83.327687,17264
85.783060,16818
88.239182,16894
90.696054,16420
93.153676,15833
95.612047,14503
98.071167,12787
100.531036,10830
102.991655,9002
105.453024,7608
107.915141,6470
110.378008,5768
112.841625,5336
115.305991,4829
117.771106,4531
120.236971,4182
122.703585,3847
125.170948,3768
127.639061,3540
130.107923,3343
132.577535,3528
135.047896,3463
137.519006,3468
139.990866,3530
142.463475,3547
144.936834,3488
147.410942,3324
149.885799,3331
152.361406,3231
154.837762,3243
157.314867,3033
159.792722,3004
162.271326,2962
164.750680,2987
167.230783,3098
169.711636,3270
172.193237,3502
174.675589,3589
177.158689,3833
179.642539,4139
182.127139,4254
184.612487,4419
187.098585,4303
189.585433,4200
192.073030,3941
194.561376,3732
197.050472,3235
199.540317,2969
202.030912,2587
204.522255,2297
207.014349,2096
209.507191,1875
212.000783,1768
214.495125,1629
216.990216,1519
219.486056,1424
221.982645,1350
224.479984,1318
226.978073,1267
229.476911,1259
231.976498,1119
234.476834,1112
