pressure_bin_id,pressure_lo_hpa,pressure_hi_hpa,pressure_center_hpa,column_depth_center_g_cm2,n_legs,exposure_weighted_live_s,mean_altitude_ft,total_cps_equal_flight,noovf_cps_equal_flight,overflow_cps_equal_flight,total_cps_exposure_weighted,noovf_cps_exposure_weighted,overflow_cps_exposure_weighted,total_cps_between_flight_sd,total_relative_equal_flight,noovf_cps_between_flight_sd,noovf_relative_equal_flight,overflow_cps_between_flight_sd,overflow_relative_equal_flight,common_all_four_legs
0,200.0,250.0,225.0,229.4361,2,4024.0,35817.31470537009,17.858138276281963,16.60371284896045,1.2544254273215172,17.856113320079523,16.616053677932406,1.2400596421471173,0.0052380051779146565,15.610471854286109,0.031922332925981026,15.215682054684951,0.03716033810389317,28.019477719040534,False
1,250.0,300.0,275.0,280.4219,3,6984.0,32848.89691546857,14.17022947979794,13.218222179322696,0.9520073004752407,14.656786941580757,13.675114547537229,0.981672394043528,1.1445642421046034,13.031122191344386,1.0763053904133624,12.662794271719434,0.06834559447010395,24.424999108136717,False
2,300.0,350.0,325.0,331.40770000000003,4,6236.0,28119.730079541656,9.61699152203953,8.966872703828475,0.6501188182110552,9.569275176395125,8.918216805644644,0.6510583707504811,0.294106353529919,8.640939307513667,0.2718453665201119,8.347888315396673,0.02303804510253074,22.398556494622056,True
3,350.0,400.0,375.0,382.3935,4,1038.0,25205.905315143704,7.042126204179539,6.583848140203845,0.4582780639756936,7.055876685934489,6.596339113680155,0.4595375722543353,0.1937088533337241,6.35265424293006,0.1744288939932607,6.154350657135905,0.029579669051848518,16.076589423573747,True
4,400.0,450.0,425.0,433.3793,4,814.0,22204.57969972607,5.060241228976613,4.733640472162082,0.32660075681453155,5.044226044226044,4.716216216216216,0.32800982800982803,0.31082946734761346,4.550234592925489,0.2811493111763474,4.411331819458506,0.05499021620706167,11.449263114046317,True
5,450.0,500.0,475.0,484.36510000000004,4,692.0,19589.876607250917,3.560675377576434,3.3419597286931477,0.21871564888328643,3.5722543352601157,3.352601156069364,0.21965317919075145,0.1789319757954387,3.218522934621088,0.15717759409523518,3.1302034964138166,0.023420059099961164,7.7604519058106,True
6,500.0,550.0,525.0,535.3509,4,614.0,17151.33168144369,2.5729503380178045,2.409409992805795,0.16354034521200939,2.5651465798045603,2.403908794788274,0.16123778501628663,0.09449562757830454,2.313306749399438,0.0817332389958368,2.2459159061502585,0.022002525554939693,5.544494216784858,True
7,550.0,600.0,575.0,586.3367000000001,4,585.0,14870.900064716912,1.9246619757174392,1.7870330692983596,0.13762890641907977,1.9196581196581197,1.782905982905983,0.13675213675213677,0.17861682634794823,1.7418275954180773,0.16339867617031958,1.6785569334837906,0.020335446577076824,4.7194013097788785,True
8,600.0,650.0,625.0,637.3225,4,958.0,12597.200502107731,1.4330962877159141,1.3351169090484234,0.09797937866749068,1.384133611691023,1.292275574112735,0.0918580375782881,0.159067636451219,1.2811488711458017,0.1362304810100931,1.2370982867235985,0.02448445891949463,3.4004440979501642,True
9,650.0,700.0,675.0,688.3083,4,664.0,10815.508817080732,1.0737224934995455,1.00289076119359,0.07083173230595549,1.0768072289156627,1.0045180722891567,0.07228915662650602,0.07918777860471363,0.9644097939294118,0.07564418724423343,0.9327499710608393,0.013247072878388444,2.6246478341925044,True
10,700.0,750.0,725.0,739.2941000000001,4,586.0,8982.785273696203,0.9943962859659424,0.9346219294382463,0.05977435652769622,0.9863481228668942,0.9249146757679181,0.06143344709897611,0.11767215398482468,0.8893646520850848,0.10146495000894622,0.8643156800790389,0.022943570297152098,1.9439670240833171,True
11,750.0,800.0,775.0,790.2799,4,590.0,7395.561989912808,0.7108654272412274,0.6779429238362182,0.03292250340500907,0.6966101694915254,0.6610169491525424,0.03559322033898305,0.04864997498197959,0.6385907472010806,0.0494707132851082,0.6317476785562274,0.016777925622210563,1.3369853038531632,True
12,800.0,850.0,825.0,841.2657,4,533.0,5563.996970368675,0.8979205005520795,0.8308612440191387,0.06705925653294074,0.8667917448405253,0.8048780487804879,0.06191369606003752,0.10358589422389268,0.8091126757226287,0.08037019533978566,0.7728946434112843,0.03335985772622961,2.3703569456858933,True
13,850.0,900.0,875.0,892.2515000000001,4,991.0,3982.8226667327567,0.661400647212083,0.6297494282747593,0.03165121893732362,0.6599394550958627,0.6246215943491423,0.035317860746720484,0.11826858507942094,0.6020960525975313,0.09894491556486608,0.5934660084039173,0.022011294606004827,0.8210088330374226,True
14,900.0,950.0,925.0,943.2373000000001,4,872.0,2516.4609142914746,0.7827192547189477,0.7516883446177924,0.031030910101155183,0.805045871559633,0.7717889908256881,0.033256880733944956,0.14778158761935564,0.6911150059683367,0.14565157591900063,0.6854481210984846,0.012573207075438022,0.9345987156209405,True
15,950.0,1000.0,975.0,994.2231,4,431.0,1253.5846768009972,1.698266655268112,1.6575254085602151,0.04074124670789669,1.668213457076566,1.6264501160092808,0.04176334106728538,0.427604605509931,1.4835070098247356,0.4386579427796037,1.4937997321387886,0.03512549417679721,1.025446276378314,True
16,1000.0,1050.0,1025.0,1045.2089,1,38.0,172.12630305559614,1.0,1.0,0.0,1.0,1.0,0.0,,1.0352303523035231,,1.0700280112044818,,0.0,False
